CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;26;21.2;27.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;27;19.9;25.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;28;19.8;25.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;29;20.4;26.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;30;21.7;27.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2016;01;31;21.8;26.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;01;6.2;29.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;02;5.8;27.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;03;6.1;26.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;04;6.0;26.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;05;5.2;26.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;06;6.0;27.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;07;7.5;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;08;7.8;27.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;09;7.2;29.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;10;5.6;26.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;11;6.6;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;12;8.1;25.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;13;9.2;25.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;14;6.1;26.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2016;01;15;5.3;28.0
